date,lat,lon,risk_score,salinity_1ppt,salinity_4ppt,confidence,nearest_station_id,nearest_station_distance_km
2010-01-01,8.5,104.5,100.0,1.0,1.0,0.5,CM02,60.073462527142944
2010-01-01,8.5,104.6,100.0,1.0,1.0,0.5,CM02,50.489750445016966
2010-01-01,8.5,104.69999999999999,100.0,1.0,1.0,0.5,CM02,41.66568012165535
2010-01-01,8.5,104.79999999999998,100.0,1.0,1.0,0.5,CM02,34.19448639766495
2010-01-01,8.5,104.89999999999998,100.0,1.0,1.0,0.5,CM02,29.136178541463753
2010-01-01,8.5,104.99999999999997,100.0,1.0,1.0,0.5,CM02,27.838658372845195
2010-01-01,8.5,105.09999999999997,100.0,1.0,1.0,0.5,CM02,30.78124266497192
2010-01-01,8.5,105.19999999999996,100.0,1.0,1.0,0.5,CM02,36.96483328786649
2010-01-01,8.5,105.29999999999995,100.0,1.0,1.0,0.5,CM02,45.07474791942391
2010-01-01,8.5,105.39999999999995,100.0,1.0,1.0,0.5,CM02,54.25391137972846
2010-01-01,8.5,105.49999999999994,100.0,1.0,1.0,0.5,CM02,64.04421051117127
2010-01-01,8.5,105.59999999999994,100.0,1.0,1.0,0.5,CM02,74.20414341530386
2010-01-01,8.5,105.69999999999993,100.0,1.0,1.0,0.5,CM02,84.60064361456548
2010-01-01,8.5,105.79999999999993,100.0,1.0,1.0,0.5,BL01,88.13847343810669
2010-01-01,8.5,105.89999999999992,100.0,1.0,1.0,0.5,BL01,89.93740323135661
2010-01-01,8.5,105.99999999999991,100.0,1.0,1.0,0.5,BL01,93.03495310902996
2010-01-01,8.5,106.09999999999991,100.0,1.0,1.0,0.5,BL01,97.30718627110303
2010-01-01,8.5,106.1999999999999,100.0,1.0,1.0,0.5,BL01,102.60747779766761
2010-01-01,8.5,106.2999999999999,100.0,1.0,1.0,0.5,BL01,108.78566311788764
2010-01-01,8.5,106.39999999999989,100.0,1.0,1.0,0.5,ST02,111.02219778044146
2010-01-01,8.5,106.49999999999989,100.0,1.0,1.0,0.5,ST02,113.76281642082861
2010-01-01,8.6,104.5,100.0,1.0,1.0,0.5,CM02,55.82097186542033
2010-01-01,8.6,104.6,100.0,1.0,1.0,0.5,CM02,45.347270039111415
2010-01-01,8.6,104.69999999999999,100.0,1.0,1.0,0.5,CM02,35.25888398687779
2010-01-01,8.6,104.79999999999998,100.0,1.0,1.0,0.5,CM02,26.008131420770976
2010-01-01,8.6,104.89999999999998,100.0,1.0,1.0,0.6225999999999714,CM02,18.87000000000143
2010-01-01,8.6,104.99999999999997,100.0,1.0,1.0,0.6640530399006502,CM02,16.79734800496749
2010-01-01,8.6,105.09999999999997,100.0,1.0,1.0,0.5735519257870245,CM02,21.322403710648775
2010-01-01,8.6,105.19999999999996,100.0,1.0,1.0,0.5,CM02,29.55602984163746
2010-01-01,8.6,105.29999999999995,100.0,1.0,1.0,0.5,CM02,39.22872544449554
2010-01-01,8.6,105.39999999999995,100.0,1.0,1.0,0.5,CM02,49.50400892856487
2010-01-01,8.6,105.49999999999994,100.0,1.0,1.0,0.5,CM02,60.07346252713608
2010-01-01,8.6,105.59999999999994,100.0,1.0,1.0,0.5,CM02,70.8054722461406
2010-01-01,8.6,105.69999999999993,100.0,1.0,1.0,0.5,BL01,76.62216715807524
2010-01-01,8.6,105.79999999999993,100.0,1.0,1.0,0.5,BL01,77.10306414144543
2010-01-01,8.6,105.89999999999992,100.0,1.0,1.0,0.5,BL01,79.15319639786914
2010-01-01,8.6,105.99999999999991,100.0,1.0,1.0,0.5,BL01,82.65588000862013
2010-01-01,8.6,106.09999999999991,100.0,1.0,1.0,0.5,BL01,87.43672283428256
2010-01-01,8.6,106.1999999999999,100.0,1.0,1.0,0.5,BL01,93.29944533596576
2010-01-01,8.6,106.2999999999999,100.0,1.0,1.0,0.5,ST02,98.30865882515008
2010-01-01,8.6,106.39999999999989,100.0,1.0,1.0,0.5,ST02,100.17096585338224
2010-01-01,8.6,106.49999999999989,100.0,1.0,1.0,0.5,ST02,103.2001569766207
2010-01-01,8.7,104.5,100.0,1.0,1.0,0.5,CM02,53.568282593341074
2010-01-01,8.7,104.6,100.0,1.0,1.0,0.5,CM02,42.54356473075677
2010-01-01,8.7,104.69999999999999,100.0,1.0,1.0,0.5,CM02,31.57164709038961
2010-01-01,8.7,104.79999999999998,100.0,1.0,1.0,0.5852697744315738,CM02,20.73651127842131
2010-01-01,8.7,104.89999999999998,100.0,1.0,1.0,0.7905656188682924,CM02,10.471719056585385
2010-01-01,8.7,104.99999999999997,100.0,1.0,1.0,0.8804493412816392,CM02,5.977532935918037
2010-01-01,8.7,105.09999999999997,100.0,1.0,1.0,0.7114000000000775,CM02,14.429999999996127
2010-01-01,8.7,105.19999999999996,100.0,1.0,1.0,0.5,CM02,25.042741463341503
2010-01-01,8.7,105.29999999999995,100.0,1.0,1.0,0.5,CM02,35.950979124352244
2010-01-01,8.7,105.39999999999995,100.0,1.0,1.0,0.5,CM02,46.949194881269584
2010-01-01,8.7,105.49999999999994,100.0,1.0,1.0,0.5,CM02,57.98621301653714
2010-01-01,8.7,105.59999999999994,100.0,1.0,1.0,0.5,BL01,66.83084991229859
2010-01-01,8.7,105.69999999999993,100.0,1.0,1.0,0.5,BL01,65.52761631556601
2010-01-01,8.7,105.79999999999993,100.0,1.0,1.0,0.5,BL01,66.08929187092153
2010-01-01,8.7,105.89999999999992,100.0,1.0,1.0,0.5,BL01,68.46999707901008
2010-01-01,8.7,105.99999999999991,100.0,1.0,1.0,0.5,BL01,72.49073389061127
2010-01-01,8.7,106.09999999999991,100.0,1.0,1.0,0.5,BL01,77.89796210427559
2010-01-01,8.7,106.1999999999999,100.0,1.0,1.0,0.5,BL01,84.4256981019338
2010-01-01,8.7,106.2999999999999,100.0,1.0,1.0,0.5,ST02,87.28863843593714
2010-01-01,8.7,106.39999999999989,100.0,1.0,1.0,0.5,ST02,89.38085029803351
2010-01-01,8.7,106.49999999999989,100.0,1.0,1.0,0.5,ST02,92.76306592604172
2010-01-01,8.799999999999999,104.5,100.0,1.0,1.0,0.5,CM02,53.56828259334105
2010-01-01,8.799999999999999,104.6,100.0,1.0,1.0,0.5,CM02,42.54356473075674
2010-01-01,8.799999999999999,104.69999999999999,100.0,1.0,1.0,0.5,CM02,31.571647090389575
2010-01-01,8.799999999999999,104.79999999999998,100.0,1.0,1.0,0.5852697744315749,CM02,20.736511278421254
2010-01-01,8.799999999999999,104.89999999999998,100.0,1.0,1.0,0.7905656188682944,CM02,10.471719056585282
2010-01-01,8.799999999999999,104.99999999999997,100.0,1.0,1.0,0.8804493412816429,CM02,5.977532935917854
